Organization Name,Organization Name URL,Number of Employees,Heat Score Tier,Operating Status,IPO Status,Headquarters Location,Industries,Description,CB Rank (Organization),Stage,CB Rank (Company)
EarthWerks,https://www.crunchbase.com/organization/earthwerks,101-250,High,Active,Private,"Houston, Texas, United States","E-Commerce, Home Renovation","EarthWerks provides almost 4 decades of LVT experience – offering style, service and availability you can trust.","983,772",,"945,902"
Storm-Tek,https://www.crunchbase.com/organization/storm-tek,101-250,High,Active,Private,"Houston, Texas, United States","Project Management, Telecommunications, Wireless",Storm-Tek is a telecommunications contractor that specializes in utility installation and project management services.,"984,668",,"946,774"
Priority Home Mortgage,https://www.crunchbase.com/organization/priority-home-mortgage,101-250,High,Active,Private,"Houston, Texas, United States","Credit, Financial Services, Lending, Mortgage",Priority Home Mortgage is a financial institution that offers home loan programs at competitive rates.,"985,170",,"947,177"
Morris Export Services,https://www.crunchbase.com/organization/morris-export-services,101-250,High,Active,Private,"Houston, Texas, United States","Freight Service, Packaging Services, Warehousing",Morris Export Services provides import and export cargo services.,"987,514",,"949,462"
Gainsborough Waste,https://www.crunchbase.com/organization/gainsborough-waste,101-250,High,Active,Private,"Houston, Texas, United States",Waste Management,"We provide the optimal waste services to support your job — whether roll off dumpsters, compactors, hauling, or other critical services.","988,822",,"950,733"
Texas American Title,https://www.crunchbase.com/organization/texas-american-title,1001-5000,High,Active,Private,"Houston, Texas, United States",Real Estate,TAT is a company dedicated to creating exceptional closing experiences. Their business is built on our strong client relationships.,"989,876",,"951,775"
WinPark,https://www.crunchbase.com/organization/winpark,101-250,High,Active,Private,"Houston, Texas, United States","Automotive, Facility Management, Parking",WinPark is a parking facility management and consulting company that provides parking facilities more reliable by incorporating automation.,"990,320",,"952,212"
Fidelity Home Health Services,https://www.crunchbase.com/organization/fidelity-home-health-services,101-250,High,Active,Private,"Houston, Texas, United States","Health Care, Home Health Care, Personal Health","Fidelity Home Health Services offers primary home care, community attendant, and family care services.","991,405",,"953,385"
Axial,https://www.crunchbase.com/organization/axial-2324,101-250,High,Active,Private,"Houston, Texas, United States","Machinery Manufacturing, Manufacturing, Supply Chain Management","Axial manufactures and supplies a broad spectrum of precision-turned products that include stud bolts, headed fasteners, and gaskets.","992,420",,"954,384"
Adaptive Driving Access,https://www.crunchbase.com/organization/adaptive-driving-access,101-250,High,Active,Private,"Houston, Texas, United States","Automotive, E-Commerce",ADA is an automotive dealer that sells new and used wheelchair and handicap vans and services.,"993,464",,"955,407"
Moss Landscaping,https://www.crunchbase.com/organization/moss-landscaping,101-250,High,Active,Private,"Houston, Texas, United States","Architecture, Construction, Landscaping","Moss Landscaping specializes in project management, architecture, landscape design, tree care, construction and maintenance services.","993,501",,"955,333"
Texas Gulf Coast PA Association,https://www.crunchbase.com/organization/texas-gulf-coast-pa-association,1001-5000,High,Active,Private,"Houston, Texas, United States","Events, Non Profit, Recruiting","Texas Gulf Coast PA Association is an organization that offers CME opportunities, job listings, and philanthropic events.","993,710",,"955,541"
The BankCard Group,https://www.crunchbase.com/organization/the-bankcard-group,101-250,High,Active,Private,"Houston, Texas, United States",Financial Services,The BankCard Group is a financial services company offering electronic payment services.,"996,484",,"958,361"
Forum Services,https://www.crunchbase.com/organization/forum-services,101-250,High,Active,Private,"Houston, Texas, United States","Construction, Oil and Gas, Project Management","Forum Services offers drilling unit design, project management, and construction solutions for oil as well as gas companies.","996,562",,"958,429"
MCM Commercial Concrete,https://www.crunchbase.com/organization/mcm-commercial-concrete,251-500,High,Active,Private,"Houston, Texas, United States",Construction,"MCM Commercial Concrete offers construction services such as constructs highway & street, as well as other non-residential buildings.","997,314",,"959,185"
Monarch Landscape Management,https://www.crunchbase.com/organization/monarch-landscape-management,101-250,High,Active,Private,"Houston, Texas, United States","Commercial, Customer Service, Landscaping",Monarch Landscape Management is a commercial landscape company that provides landscape maintenance services.,"997,839",,"959,583"
Rays Flow Control,https://www.crunchbase.com/organization/rays-flow-control,101-250,High,Active,Private,"Houston, Texas, United States","Industrial Manufacturing, Manufacturing, Oil and Gas","Rays Flow Control is a high-end, cutting-edge technological firm that specializes in industrial valve manufacture and global marketing.","1,004,866",,"966,561"
Beasley Tire Services,https://www.crunchbase.com/organization/beasley-tire-services,101-250,High,Active,Private,"Houston, Texas, United States","Battery, Fleet Management, Mechanical Engineering, Mobile, Transportation",Beasley Tire Services is a trucking industry.,"1,006,544",,"968,104"
Seven Acres Jewish Senior Care Services,https://www.crunchbase.com/organization/seven-acres-jewish-senior-care-services,251-500,High,Active,Private,"Houston, Texas, United States","Assisted Living, Elder Care, Health Care, Non Profit, Nursing and Residential Care",Seven Acres Jewish Senior Care Services is a nonprofit care campus that provides comprehensive healthcare and lifestyle support for seniors.,"1,007,046",,"968,700"
Gulf Freight Management,https://www.crunchbase.com/organization/gulf-freight-management,101-250,High,Active,Private,"Houston, Texas, United States","Freight Service, Logistics, Warehousing","Gulf Freight Management offers shipping, warehousing, load planning, freight forwarding, logistics, and material management services.","1,011,969",,"973,417"
Alltech Systems,https://www.crunchbase.com/organization/alltech-systems,101-250,High,Active,Private,"Houston, Texas, United States","Employment, Recruiting, Staffing Agency","Alltech Systems is an HR firm that does recruitment, staffing, and employment for various fields.","1,012,208",,"973,649"
Triple Tap Ventures,https://www.crunchbase.com/organization/triple-tap-ventures,101-250,High,Active,Private,"Houston, Texas, United States","Food and Beverage, Organic Food, Venture Capital",Triple Tap Ventures is focused on running great businesses with great people.,"1,015,947",,"977,313"
"Eagle Chair, Inc.",https://www.crunchbase.com/organization/eagle-chair-inc,251-500,High,Active,Private,"Houston, Texas, United States",Health Care,"Eagle Chair, Inc. is a family owned and operated company focused on excellence.","1,017,487",,"978,930"
Darby Consulting,https://www.crunchbase.com/organization/darby-consulting,501-1000,High,Active,Private,"Houston, Texas, United States","Management Consulting, Professional Services, Software",Darby Consulting is a custom software & IT services company that also specializes in business management consulting.,"1,018,694",,"980,111"
Windrose Land Services,https://www.crunchbase.com/organization/windrose-land-services,101-250,High,Active,Private,"Houston, Texas, United States","Architecture, CivicTech, Civil Engineering","Windrose Land Services is a civil engineering company that specializes in land surveying, platting, project management, and GIS.","1,020,570",,"981,837"
"Fabricating Specialties,LLC; Superior Threaded Products,LP; Superior Cladding Products, LLC",https://www.crunchbase.com/organization/fabricating-specialties-llc-superior-threaded-products-lp-superior-cladding-products-llc,101-250,High,Active,Private,"Houston, Texas, United States","Energy, Manufacturing, Renewable Energy",Fabricating Specialties is an oil & energy company specializing in fabricated and machined metal products.,"1,022,580",,"983,808"
TSC HDD,https://www.crunchbase.com/organization/tsc-hdd,501-1000,High,Active,Private,"Houston, Texas, United States","Facilities Support Services, Manufacturing, Natural Resources",TSC HDD is a manufacturer’s representative of drill pipe and drill stem tubular.,"1,023,107",,"984,444"
eFORCE,https://www.crunchbase.com/organization/eforce,101-250,High,Active,Private,"Houston, Texas, United States","B2B, E-Commerce, Mobile","eFORCE offers strategic e-business solutions that focus on B2B, B2C, corporate portals, and m-commerce.","1,023,432",,"984,766"
Scan Systems,https://www.crunchbase.com/organization/scan-systems-11de,101-250,High,Active,Private,"Houston, Texas, United States","Industrial, Machinery Manufacturing, Manufacturing, Oil and Gas","Scan Systems is the manufacturer of proprietary products such as pipe inspection equipment, laser tally, and notch master for NDE companies.","1,026,053",,"987,339"
SJ Environmental,https://www.crunchbase.com/organization/sj-environmental,101-250,High,Active,Private,"Houston, Texas, United States","Biofuel, Chemical, Industrial",SJE provides H2S removal services for petrochemical companies.,"1,028,805",,"990,040"
